Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	FZ	CZ	PZ	FC1	FC2	CP1	CP2	FC5	FC6	CP5	CP6	FT9	FT10	P9	P10	POZ
66.4062	0.9106	0.3930	-0.9265	-1.5603	-0.9130	-0.5044	-0.1298	0.1028	0.5425	0.5291	0.6703	0.5800	0.0691	1.6432	0.3482	1.2319	-1.7321	-1.6884	-0.3840	-1.6201	-1.8866	-0.9209	-0.5484	-0.3528	0.5996	-0.1213	0.7617	0.7911	1.9082	0.4859	1.6253	0.0960
70.3125	1.9979	1.3465	-0.3396	-1.2322	-0.6668	-0.9004	-0.2520	-0.4967	0.3599	-0.0003	1.2073	0.5379	0.1592	1.0626	0.2019	0.4292	-0.9731	-1.3834	-0.5032	-1.0391	-1.6369	-0.8105	-0.8049	-0.2456	0.4886	-0.1987	-0.1675	1.1489	1.2486	0.3835	1.2452	-0.1665
74.2188	1.6602	0.9782	-0.5329	-1.0394	-0.6774	-0.3156	-0.2395	-0.4840	0.1014	-0.5671	0.8961	1.2664	0.0533	1.6314	0.0274	-0.0275	-1.1774	-1.2375	-0.5925	-1.1098	-1.4214	-0.7947	-0.5918	-0.2337	1.3581	-0.2259	0.5279	0.7738	2.3933	-0.0590	0.1040	-0.4445
78.1250	0.8390	0.6797	-0.3538	-0.1614	-0.4546	-0.1167	-0.0813	-0.4603	0.0625	-0.6279	0.4411	1.2097	0.1149	0.9384	-0.0206	-0.2641	-0.6246	-0.8990	-0.3262	-0.7181	-0.6301	-0.4970	-0.4293	-0.1157	0.7320	-0.1097	0.2789	0.4855	1.7163	-0.1228	-0.1896	-0.2950
82.0312	1.6402	1.4844	-0.1094	0.3093	-0.4556	-0.4848	-0.3106	-0.8546	-0.0359	-0.6915	0.8360	1.2253	0.3175	0.4581	-0.1481	-0.4577	-0.2041	-0.9795	-0.4146	-0.5415	-0.4029	-0.5446	-0.8058	-0.1960	0.1023	-0.2808	-0.4816	0.9700	1.2815	-0.0378	0.1521	-0.3392
85.9375	2.8243	2.2793	0.3114	-0.0995	-0.3292	-0.8571	-0.3607	-1.4632	-0.1199	-1.3298	1.4247	1.3369	0.2704	0.6230	-0.1237	-1.1406	0.1105	-0.8204	-0.7835	-0.2176	-0.7213	-0.6442	-1.0550	-0.0589	0.8406	-0.2817	-0.9610	1.1824	1.3445	-0.1069	-0.2349	-0.8389
89.8438	3.1160	2.1345	0.7162	0.4893	0.0898	-0.6544	-0.0568	-1.6652	-0.1418	-1.6036	1.5627	0.5718	0.4579	-0.5109	0.0580	-1.8250	0.7761	-0.1165	-0.7354	0.4326	0.1579	-0.2715	-0.9099	0.1918	0.2070	0.0124	-1.3860	1.0248	0.0964	-0.1125	-1.1745	-0.9311
93.7500	3.3988	2.0855	1.0937	0.7568	0.3100	-0.5554	0.3379	-1.5851	0.0503	-1.8313	1.9365	-0.1286	0.3437	-1.5604	0.1885	-2.2796	1.1892	0.0812	-0.4386	0.7403	0.5139	-0.0406	-0.5752	0.5607	-0.2453	0.3256	-1.5286	1.0268	-1.2088	-0.2312	-1.9617	-0.7688
97.6562	1.6026	1.0037	0.7803	0.4939	0.4043	-0.3206	0.4737	-0.8196	0.1197	-1.1784	0.9985	-0.2298	0.2285	-1.2805	0.1598	-1.6784	0.8689	0.2445	0.0735	0.6464	0.3791	0.2737	-0.1031	0.4732	-0.2018	0.3841	-0.9864	0.4792	-1.1731	-0.2113	-1.6868	-0.2178
101.5625	2.1847	1.3082	1.0237	0.7893	0.3275	-0.2108	0.1169	-0.6360	-0.1861	-0.8875	1.3067	-0.6107	-0.0467	-1.6860	-0.1002	-1.3649	1.1854	0.3196	-0.0851	0.7845	0.6766	0.1098	-0.0687	0.4981	-0.4819	0.1403	-0.9753	0.5147	-1.8155	-0.3512	-1.4604	-0.3188
105.4688	2.5305	1.7096	0.5979	-0.6448	0.0234	-0.6096	-0.2875	-0.7577	-0.4131	-0.9133	1.2686	0.5683	-0.0457	0.3525	-0.2242	-1.1474	0.2389	-0.1824	-0.5248	0.1873	-0.8375	-0.2907	-0.4594	0.1277	1.3732	-0.1949	-0.5251	0.6425	0.4954	-0.3707	-1.0721	-0.6149
109.3750	2.7309	1.4179	0.7334	-0.0880	0.0825	-0.2824	-0.1804	-0.5348	-0.2189	-0.7094	1.5760	-0.5373	-0.1729	-0.8159	-0.1675	-0.9258	0.5581	0.0892	-0.3333	0.3793	-0.0345	-0.1656	-0.1601	0.2709	0.1542	-0.1018	-0.5866	0.7256	-0.9496	-0.3265	-0.9675	-0.4591
113.2812	3.5432	2.0992	1.2656	0.8964	0.3934	-0.4920	-0.2868	-1.0223	-0.4393	-0.8844	1.9124	-0.9598	0.1556	-2.0432	-0.2575	-1.5465	1.5091	0.5641	-0.3737	1.0657	0.8774	0.0773	-0.4366	0.3186	-0.9124	-0.1400	-1.6588	1.0284	-2.2061	-0.2774	-1.2213	-0.5486
117.1875	3.4161	1.5227	1.0278	-0.2006	0.5102	-0.5336	-0.0030	-0.7066	0.0330	-0.7859	2.0667	-1.7084	0.1004	-1.8775	-0.0530	-1.4242	0.9344	0.7502	0.0213	0.9236	0.2930	0.3635	-0.0411	0.2750	-0.7881	0.0190	-1.4241	1.1881	-2.3635	-0.1607	-1.1597	-0.2149
121.0938	1.9233	0.7983	1.3471	0.6034	0.7486	-0.1165	0.2361	-0.3376	0.0829	-0.7732	1.4025	-2.0544	-0.3362	-2.6397	-0.1573	-1.3559	1.6448	1.2286	0.4344	1.4368	1.1542	0.6704	0.5384	0.6054	-1.2246	0.1894	-1.3255	0.5035	-3.5249	-0.3625	-1.3016	-0.0384
125.0000	2.9836	1.0776	1.3331	0.7350	0.8072	-0.1271	0.3791	-0.4972	-0.0988	-0.7222	1.8215	-2.1731	0.2066	-3.0443	0.0938	-1.8083	1.5209	1.1308	0.2066	1.3473	1.2112	0.6564	0.2316	0.6105	-1.4395	0.3800	-1.4052	0.7057	-3.5660	-0.2575	-2.2369	-0.0624
