Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	A1	A2	FZ	CZ	PZ
92.0000	0.3127	2.5620	-1.8696	10.2029	9.2406	8.2910	3.4931	-7.6380	-0.6085	-5.3019	1.3969	-9.4767	-0.4120	-10.8354	1.2924	-18.8349	-10.3198	-4.9658	13.2602	15.0968	5.1141
96.0000	-0.1654	1.5362	-2.5849	9.0231	8.9328	7.9851	3.2228	-6.8254	-0.6898	-5.0714	0.9194	-9.2564	-0.4329	-9.3365	1.2136	-15.0287	-10.1320	-5.1188	12.0941	14.7692	4.9458
100.0000	0.6142	1.5027	-0.3410	8.1972	8.5317	6.2821	3.6017	-11.3975	0.1418	-5.6440	3.2687	-8.8371	0.6884	-12.1953	2.9837	-17.3539	-6.7960	-2.2673	11.6189	13.9179	3.4830
104.0000	-0.3307	-0.4522	0.1702	5.8498	7.8877	5.7110	4.2535	-12.7677	1.1904	-4.0784	4.4173	-8.1986	0.3851	-12.7973	4.1870	-16.9097	-5.1222	0.8331	9.5060	12.9744	3.2912
108.0000	1.3212	1.2015	1.6176	6.0020	7.2048	4.3562	3.5918	-12.3326	0.7221	-5.1188	4.8809	-6.9575	1.2998	-12.8096	3.8559	-18.2488	-3.4309	0.2241	9.2132	11.0747	2.3326
112.0000	3.0370	3.0637	2.8054	7.3022	7.4590	3.4663	3.0926	-13.7264	0.1501	-7.2184	5.4717	-6.9691	2.5442	-13.9085	3.8595	-19.9013	-2.4051	-1.0005	10.4908	10.9910	1.3959
116.0000	3.8678	3.5039	3.2279	7.1224	7.7677	3.3578	3.0116	-12.9180	-0.2226	-7.9623	5.8232	-6.6354	2.9153	-14.0358	3.7191	-21.1127	-2.2128	-1.7811	10.3274	10.7315	1.5051
120.0000	4.7115	3.8036	5.2972	5.4971	6.5476	2.0279	3.1652	-12.6393	0.2866	-7.0443	7.2983	-4.5886	3.1031	-14.8480	4.1610	-24.6267	0.3712	0.4346	8.2957	7.7741	0.9724
124.0000	3.4421	3.4946	3.5251	6.4724	6.7533	3.4467	3.1579	-10.8208	0.1554	-6.0483	5.6142	-5.4037	2.0045	-13.3837	3.2620	-22.9293	-2.1534	-0.6005	9.1185	8.9373	1.9557
128.0000	2.7934	0.6577	0.5732	4.4655	9.8125	6.3908	3.9102	-5.9782	-0.9288	-6.9889	4.9301	-6.8727	1.3417	-11.5740	2.7663	-20.5823	-6.1965	-4.1732	8.2211	12.4401	4.9921
132.0000	0.3705	-3.2182	-2.3890	2.2220	11.4335	8.7161	4.9057	-4.0574	-0.7110	-5.7557	4.1688	-8.3933	0.0087	-10.0652	3.0870	-16.1918	-9.1299	-4.4055	6.9253	15.3296	7.1501
136.0000	2.3495	0.1174	1.0478	3.9485	9.1329	5.5475	3.9819	-8.2364	-0.2999	-6.4881	5.4439	-6.7593	1.5097	-12.1316	3.5353	-19.4335	-4.7627	-2.3411	7.7567	11.9431	4.1386
140.0000	5.9483	3.7506	6.0134	4.9931	7.7364	1.6989	3.3274	-14.0358	-0.0885	-9.1206	8.6396	-4.9787	4.2657	-16.2630	4.9260	-25.6367	1.2125	-0.3042	8.4329	8.6998	0.7827
144.0000	9.1939	6.0068	9.5654	5.0256	7.4382	-1.2873	2.7571	-18.2015	-0.3758	-12.3564	11.3750	-3.8599	6.9584	-19.1950	6.1637	-28.9350	5.8317	0.1515	8.5764	6.8720	-1.7047
148.0000	11.0020	8.4153	12.3311	6.2053	5.8690	-4.2694	1.8849	-22.8634	-0.1497	-13.8688	12.6885	-2.9236	8.7698	-21.0588	6.9407	-29.8405	9.9141	1.5917	9.3279	4.6622	-4.6282
